Incident #,Incident City,Incident Date,Incident Description,Incident Type,Incident Type Code,Incident ZipCode,Station,Station City,Station ZipCode,Distance,Incident Position,Station Position,Time to Arrival (s),Time to Dispatch (s),Time to Dispatch Target (s),Time to En Route (s),Time to En Route Target (s),Day,Month,Year,Time,Dispatch Time/Target Ratio,En Route Time/Target Ratio
21000927,Atlanta,2021-11-11 12:31:00,Detailed description of the incident #21000927,Fire Related,F3A,30316,AFRD Station 13,Atlanta,30316,0.528838705,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,60,240,60,300,11,11,2021,12:31:00,25.0%,20.0%
21005974,Atlanta,2021-12-01 07:11:00,Detailed description of the incident #21005974,Fire Related,F3A,30363,AFRD Station 11,Atlanta,30363,1.053193423,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,180,240,60,300,1,12,2021,07:11:00,75.0%,20.0%
21049139,Atlanta,2022-01-15 18:14:00,Detailed description of the incident #21049139,Fire Related,F3A,30313,AFRD Station 1,Atlanta,30313,2.124226151,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),600,120,240,120,300,15,1,2022,18:14:00,50.0%,40.0%
21089652,Atlanta,2022-06-10 01:51:00,Detailed description of the incident #21089652,Fire Related,F3A,30312,AFRD Station 4,Atlanta,30312,0.562471286,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,120,240,0,300,10,6,2022,01:51:00,50.0%,0.0%
21093767,Atlanta,2022-06-28 12:36:00,Detailed description of the incident #21093767,Fire Related,F3A,30310,AFRD Station 7,Atlanta,30310,0.75938087,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,0,240,120,300,28,6,2022,12:36:00,0.0%,40.0%
22001090,Atlanta,2022-07-05 14:22:00,Detailed description of the incident #22001090,Fire Related,F3A,30309,AFRD Station 15,Atlanta,30309,0.434522081,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),180,0,240,120,300,5,7,2022,14:22:00,0.0%,40.0%
21045281,Atlanta,2022-01-02 11:24:00,Detailed description of the incident #21045281,Fire Related,F3A,30312,AFRD Station 4,Atlanta,30312,0.216469505,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,0,240,60,300,2,1,2022,11:24:00,0.0%,20.0%
21047004,Atlanta,2022-01-08 10:13:00,Detailed description of the incident #21047004,Fire Related,F3A,30312,AFRD Station 4,Atlanta,30312,0.69986504,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),300,180,240,60,300,8,1,2022,10:13:00,75.0%,20.0%
21049554,Atlanta,2022-01-17 07:36:00,Detailed description of the incident #21049554,Fire Related,F3A,30309,AFRD Station 15,Atlanta,30309,0.766966664,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),300,60,240,60,300,17,1,2022,07:36:00,25.0%,20.0%
21062421,Atlanta,2022-03-02 10:57:00,Detailed description of the incident #21062421,Fire Related,F3A,30363,AFRD Station 11,Atlanta,30363,0.268447314,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,0,240,60,300,2,3,2022,10:57:00,0.0%,20.0%
21070162,Atlanta,2022-04-02 18:39:00,Detailed description of the incident #21070162,Fire Related,F3A,30313,AFRD Station 1,Atlanta,30313,2.728321933,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),480,60,240,60,300,2,4,2022,18:39:00,25.0%,20.0%
21078711,Atlanta,2022-05-10 17:31:00,Detailed description of the incident #21078711,Fire Related,F3A,30311,AFRD Station 25,Atlanta,30311,1.645177701,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),480,60,240,60,300,10,5,2022,17:31:00,25.0%,20.0%
21002739,Atlanta,2021-11-18 23:40:00,Detailed description of the incident #21002739,Fire Related,F33A,30363,AFRD Station 11,Atlanta,30363,0.573855927,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),0,60,240,60,300,18,11,2021,23:40:00,25.0%,20.0%
21009998,Atlanta,2021-12-15 13:37:00,Detailed description of the incident #21009998,Gas Related,F93,30317,AFRD Station 18,Atlanta,30317,0.547115208,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),540,240,240,60,300,15,12,2021,13:37:00,100.0%,20.0%
21042953,Atlanta,2021-12-24 18:32:00,Detailed description of the incident #21042953,Fire Related,F35,30307,AFRD Station 12,Atlanta,30307,0.587937473,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,120,240,60,300,24,12,2021,18:32:00,50.0%,20.0%
21071212,Atlanta,2022-04-06 23:50:00,Detailed description of the incident #21071212,Fire Related,F41F,30324,AFRD Station 29,Atlanta,30324,1.393918915,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),0,60,240,0,300,6,4,2022,23:50:00,25.0%,0.0%
21077656,Atlanta,2022-05-05 10:27:00,Detailed description of the incident #21077656,Fire Related,F34,30315,AFRD Station 30,Atlanta,30315,1.020872579,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),120,300,240,0,300,5,5,2022,10:27:00,125.0%,0.0%
21092011,Atlanta,2022-06-20 12:17:00,Detailed description of the incident #21092011,Fire Related,F3A,30317,AFRD Station 18,Atlanta,30317,0.85762627,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,120,240,60,300,20,6,2022,12:17:00,50.0%,20.0%
22003438,Atlanta,2022-07-15 15:11:00,Detailed description of the incident #22003438,Fire Related,F3A,30363,AFRD Station 11,Atlanta,30363,1.03576786,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,0,240,120,300,15,7,2022,15:11:00,0.0%,40.0%
21006506,Atlanta,2021-12-03 08:11:00,Detailed description of the incident #21006506,Fire Related,F3A,30324,AFRD Station 29,Atlanta,30324,0.911655539,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,60,240,60,300,3,12,2021,08:11:00,25.0%,20.0%
21009246,Atlanta,2021-12-12 17:57:00,Detailed description of the incident #21009246,Gas Related,F93,30307,AFRD Station 12,Atlanta,30307,0.294887277,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,60,240,60,300,12,12,2021,17:57:00,25.0%,20.0%
21047282,Atlanta,2022-01-09 06:42:00,Detailed description of the incident #21047282,Fire Related,F3A,30312,AFRD Station 4,Atlanta,30312,0.201615304,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,120,240,60,300,9,1,2022,06:42:00,50.0%,20.0%
21051137,Atlanta,2022-01-22 11:53:00,Detailed description of the incident #21051137,Fire Related,F3A,30331,AFRD Station 31,Atlanta,30331,0.080370636,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),60,60,240,60,300,22,1,2022,11:53:00,25.0%,20.0%
21060823,Atlanta,2022-02-24 05:32:00,Detailed description of the incident #21060823,Fire Related,F34,30312,AFRD Station 4,Atlanta,30312,0.648437988,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,4620,240,120,300,24,2,2022,05:32:00,1925.0%,40.0%
21077365,Atlanta,2022-05-03 18:27:00,Detailed description of the incident #21077365,Gas Related,F93,30306,AFRD Station 19,Atlanta,30306,0.111403759,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),540,360,240,60,300,3,5,2022,18:27:00,150.0%,20.0%
21087048,Atlanta,2022-05-28 19:20:00,Detailed description of the incident #21087048,Fire Related,F3A,30313,AFRD Station 1,Atlanta,30313,2.739290176,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),180,120,240,0,300,28,5,2022,19:20:00,50.0%,0.0%
21087669,Atlanta,2022-05-31 20:48:00,Detailed description of the incident #21087669,Fire Related,F3A,30309,AFRD Station 15,Atlanta,30309,0.533628553,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,0,240,120,300,31,5,2022,20:48:00,0.0%,40.0%
21091654,Atlanta,2022-06-18 21:47:00,Detailed description of the incident #21091654,Fire Related,F3A,30314,AFRD Station 16,Atlanta,30314,0.799986524,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),600,120,240,60,300,18,6,2022,21:47:00,50.0%,20.0%
21048322,Atlanta,2022-01-13 05:01:00,Detailed description of the incident #21048322,Fire Related,F3A,30307,AFRD Station 12,Atlanta,30307,0.379068944,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),180,0,240,120,300,13,1,2022,05:01:00,0.0%,40.0%
21053737,Atlanta,2022-01-31 02:14:00,Detailed description of the incident #21053737,Fire Related,F3A,30310,AFRD Station 7,Atlanta,30310,0.64175288,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),300,60,240,60,300,31,1,2022,02:14:00,25.0%,20.0%
21060640,Atlanta,2022-02-23 14:53:00,Detailed description of the incident #21060640,Fire Related,F3A,30363,AFRD Station 11,Atlanta,30363,1.038306552,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,240,240,0,300,23,2,2022,14:53:00,100.0%,0.0%
21089861,Atlanta,2022-06-11 00:57:00,Detailed description of the incident #21089861,Gas Related,F93,30318,AFRD Station 23,Atlanta,30318,1.193152572,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),480,180,240,120,300,11,6,2022,00:57:00,75.0%,40.0%
22002441,Atlanta,2022-07-11 10:30:00,Detailed description of the incident #22002441,Fire Related,F3A,30327,AFRD Station 26,Atlanta,30327,0.328649333,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,120,240,0,300,11,7,2022,10:30:00,50.0%,0.0%
22003756,Atlanta,2022-07-16 18:53:00,Detailed description of the incident #22003756,Fire Related,F3A,30318,AFRD Station 23,Atlanta,30318,1.067829102,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),180,60,240,0,300,16,7,2022,18:53:00,25.0%,0.0%
21001375,Atlanta,2021-11-13 08:40:00,Detailed description of the incident #21001375,Fire Related,F3A,30316,AFRD Station 13,Atlanta,30316,0.525708048,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,0,240,120,300,13,11,2021,08:40:00,0.0%,40.0%
21002597,Atlanta,2021-11-18 10:31:00,Detailed description of the incident #21002597,Fire Related,F3A,30307,AFRD Station 12,Atlanta,30307,0.408980925,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),180,60,240,60,300,18,11,2021,10:31:00,25.0%,20.0%
21011234,Atlanta,2021-12-19 15:00:00,Detailed description of the incident #21011234,Fire Related,F3A,30305,AFRD Station 21,Atlanta,30305,0.996812677,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),300,60,240,0,300,19,12,2021,15:00:00,25.0%,0.0%
21050490,Atlanta,2022-01-20 12:17:00,Detailed description of the incident #21050490,Fire Related,F34,30310,AFRD Station 20,Atlanta,30310,0.762027138,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,60,240,0,300,20,1,2022,12:17:00,25.0%,0.0%
21058731,Atlanta,2022-02-17 02:09:00,Detailed description of the incident #21058731,Fire Related,F34,30312,AFRD Station 4,Atlanta,30312,0.257800481,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),480,180,240,60,300,17,2,2022,02:09:00,75.0%,20.0%
21059921,Atlanta,2022-02-20 21:02:00,Detailed description of the incident #21059921,Fire Related,F3A,30309,AFRD Station 15,Atlanta,30309,0.222643319,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),180,120,240,0,300,20,2,2022,21:02:00,50.0%,0.0%
21063613,Atlanta,2022-03-07 01:39:00,Detailed description of the incident #21063613,Fire Related,F33G,30310,AFRD Station 7,Atlanta,30310,0.245465934,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),300,180,240,60,300,7,3,2022,01:39:00,75.0%,20.0%
21067598,Atlanta,2022-03-22 19:10:00,Detailed description of the incident #21067598,Fire Related,F3A,30305,AFRD Station 21,Atlanta,30305,0.599903205,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,180,240,60,300,22,3,2022,19:10:00,75.0%,20.0%
21087950,Atlanta,2022-06-02 06:36:00,Detailed description of the incident #21087950,Gas Related,F93,30331,AFRD Station 31,Atlanta,30331,2.081256047,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,180,240,60,300,2,6,2022,06:36:00,75.0%,20.0%
21089737,Atlanta,2022-06-10 12:01:00,Detailed description of the incident #21089737,Fire Related,F3A,30363,AFRD Station 11,Atlanta,30363,1.179277303,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,120,240,60,300,10,6,2022,12:01:00,50.0%,20.0%
22000514,Atlanta,2022-07-03 16:13:00,Detailed description of the incident #22000514,Fire Related,F3A,30310,AFRD Station 17,Atlanta,30310,1.219355471,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,60,240,60,300,3,7,2022,16:13:00,25.0%,20.0%
22005085,Atlanta,2022-07-23 09:03:00,Detailed description of the incident #22005085,Fire Related,F3A,30309,AFRD Station 15,Atlanta,30309,0.81795861,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),780,60,240,60,300,23,7,2022,09:03:00,25.0%,20.0%
21043465,Atlanta,2021-12-26 16:48:00,Detailed description of the incident #21043465,Fire Related,F3A,30309,AFRD Station 15,Atlanta,30309,0.583581777,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),300,60,240,120,300,26,12,2021,16:48:00,25.0%,40.0%
21048546,Atlanta,2022-01-13 20:32:00,Detailed description of the incident #21048546,Fire Related,F3A,30316,AFRD Station 13,Atlanta,30316,0.879111808,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),300,120,240,60,300,13,1,2022,20:32:00,50.0%,20.0%
21056206,Atlanta,2022-02-08 16:55:00,Detailed description of the incident #21056206,Fire Related,F3A,30327,AFRD Station 27,Atlanta,30327,0.9663385,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),300,60,240,120,300,8,2,2022,16:55:00,25.0%,40.0%
21066463,Atlanta,2022-03-18 10:48:00,Detailed description of the incident #21066463,Fire Related,F3A,30331,AFRD Station 31,Atlanta,30331,0.653912645,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,0,240,60,300,18,3,2022,10:48:00,0.0%,20.0%
21078926,Atlanta,2022-05-11 16:18:00,Detailed description of the incident #21078926,Fire Related,F3A,30312,AFRD Station 4,Atlanta,30312,0.8388175,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),480,60,240,0,300,11,5,2022,16:18:00,25.0%,0.0%
21088344,Atlanta,2022-06-04 00:36:00,Detailed description of the incident #21088344,Fire Related,F33D,30311,AFRD Station 5,Atlanta,30311,0.368236308,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),120,60,240,120,300,4,6,2022,00:36:00,25.0%,40.0%
21092523,Atlanta,2022-06-22 19:46:00,Detailed description of the incident #21092523,Fire Related,F3A,30305,AFRD Station 21,Atlanta,30305,0.506418298,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,120,240,0,300,22,6,2022,19:46:00,50.0%,0.0%
21093974,Atlanta,2022-06-29 03:34:00,Detailed description of the incident #21093974,Fire Related,F33D,30311,AFRD Station 25,Atlanta,30311,1.085790959,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),180,420,240,60,300,29,6,2022,03:34:00,175.0%,20.0%
21006581,Atlanta,2021-12-03 14:13:00,Detailed description of the incident #21006581,Fire Related,F3A,30305,AFRD Station 21,Atlanta,30305,2.519999504,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,60,240,60,300,3,12,2021,14:13:00,25.0%,20.0%
21009153,Atlanta,2021-12-12 11:34:00,Detailed description of the incident #21009153,Fire Related,F35,30312,AFRD Station 4,Atlanta,30312,0.626970357,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,60,240,60,300,12,12,2021,11:34:00,25.0%,20.0%
21047895,Atlanta,2022-01-11 13:50:00,Detailed description of the incident #21047895,Fire Related,F3A,30310,AFRD Station 7,Atlanta,30310,1.050099494,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,180,240,0,300,11,1,2022,13:50:00,75.0%,0.0%
21065630,Atlanta,2022-03-15 09:25:00,Detailed description of the incident #21065630,Fire Related,F41F,30310,AFRD Station 17,Atlanta,30310,0.01791887,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),2580,180,240,0,300,15,3,2022,09:25:00,75.0%,0.0%
21076951,Atlanta,2022-05-01 22:12:00,Detailed description of the incident #21076951,Fire Related,F3A,30313,AFRD Station 1,Atlanta,30313,1.831279548,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),300,0,240,60,300,1,5,2022,22:12:00,0.0%,20.0%
21077290,Atlanta,2022-05-03 12:03:00,Detailed description of the incident #21077290,Fire Related,F3A,30310,AFRD Station 20,Atlanta,30310,0.449377604,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,60,240,60,300,3,5,2022,12:03:00,25.0%,20.0%
21091609,Atlanta,2022-06-18 18:10:00,Detailed description of the incident #21091609,Fire Related,F41F,30313,AFRD Station 1,Atlanta,30313,2.960678521,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),1560,300,240,0,300,18,6,2022,18:10:00,125.0%,0.0%
21092579,Atlanta,2022-06-23 00:50:00,Detailed description of the incident #21092579,Fire Related,F3A,30324,AFRD Station 29,Atlanta,30324,0.555715689,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),540,60,240,120,300,23,6,2022,00:50:00,25.0%,40.0%
22003036,Atlanta,2022-07-13 21:03:00,Detailed description of the incident #22003036,Fire Related,F3A,30363,AFRD Station 11,Atlanta,30363,1.292490753,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,60,240,60,300,13,7,2022,21:03:00,25.0%,20.0%
21042214,Atlanta,2021-12-22 01:23:00,Detailed description of the incident #21042214,Fire Related,F34,30331,AFRD Station 9,Atlanta,30331,0.095660869,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),120,60,240,60,300,22,12,2021,01:23:00,25.0%,20.0%
21045025,Atlanta,2022-01-01 15:48:00,Detailed description of the incident #21045025,Fire Related,F3A,30318,AFRD Station 8,Atlanta,30318,0.957961496,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,60,240,0,300,1,1,2022,15:48:00,25.0%,0.0%
21051961,Atlanta,2022-01-25 01:05:00,Detailed description of the incident #21051961,Fire Related,F3A,30318,AFRD Station 28,Atlanta,30318,0.921359111,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),480,60,240,60,300,25,1,2022,01:05:00,25.0%,20.0%
21060629,Atlanta,2022-02-23 14:17:00,Detailed description of the incident #21060629,Fire Related,F3A,30312,AFRD Station 10,Atlanta,30312,0.839646578,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),300,0,240,60,300,23,2,2022,14:17:00,0.0%,20.0%
21066999,Atlanta,2022-03-20 14:11:00,Detailed description of the incident #21066999,Fire Related,F3A,30331,AFRD Station 9,Atlanta,30331,0.931932689,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,0,240,60,300,20,3,2022,14:11:00,0.0%,20.0%
21075632,Atlanta,2022-04-26 07:27:00,Detailed description of the incident #21075632,Fire Related,F3A,30318,AFRD Station 28,Atlanta,30318,0.583245384,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),600,120,240,0,300,26,4,2022,07:27:00,50.0%,0.0%
21079462,Atlanta,2022-05-14 02:34:00,Detailed description of the incident #21079462,Gas Related,F93,30312,AFRD Station 10,Atlanta,30312,0.531257442,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,120,240,120,300,14,5,2022,02:34:00,50.0%,40.0%
21087607,Atlanta,2022-05-31 15:40:00,Detailed description of the incident #21087607,Fire Related,F33D,30315,AFRD Station 30,Atlanta,30315,0.585636261,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),120,60,240,0,300,31,5,2022,15:40:00,25.0%,0.0%
21089904,Atlanta,2022-06-11 06:43:00,Detailed description of the incident #21089904,Fire Related,F3A,30309,AFRD Station 15,Atlanta,30309,0.899861148,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,60,240,0,300,11,6,2022,06:43:00,25.0%,0.0%
22001350,Atlanta,2022-07-06 15:08:00,Detailed description of the incident #22001350,Fire Related,F3A,30314,AFRD Station 16,Atlanta,30314,0.807981553,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,120,240,60,300,6,7,2022,15:08:00,50.0%,20.0%
22003737,Atlanta,2022-07-16 17:08:00,Detailed description of the incident #22003737,Fire Related,F35,30327,AFRD Station 26,Atlanta,30327,1.373376219,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,120,240,60,300,16,7,2022,17:08:00,50.0%,20.0%
21043375,Atlanta,2021-12-26 06:04:00,Detailed description of the incident #21043375,Fire Related,F3A,30312,AFRD Station 4,Atlanta,30312,0.8388175,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,120,240,60,300,26,12,2021,06:04:00,50.0%,20.0%
21045438,Atlanta,2022-01-02 21:03:00,Detailed description of the incident #21045438,Fire Related,F3A,30312,AFRD Station 4,Atlanta,30312,1.208133449,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,60,240,60,300,2,1,2022,21:03:00,25.0%,20.0%
21065328,Atlanta,2022-03-14 07:29:00,Detailed description of the incident #21065328,Gas Related,F93,30324,AFRD Station 29,Atlanta,30324,1.25937462,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),480,120,240,120,300,14,3,2022,07:29:00,50.0%,40.0%
21070285,Atlanta,2022-04-03 10:14:00,Detailed description of the incident #21070285,Fire Related,F3A,30309,AFRD Station 15,Atlanta,30309,0.899861148,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,60,240,60,300,3,4,2022,10:14:00,25.0%,20.0%
21071664,Atlanta,2022-04-08 21:04:00,Detailed description of the incident #21071664,Fire Related,F3A,30309,AFRD Station 15,Atlanta,30309,0.213486938,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),600,120,240,0,300,8,4,2022,21:04:00,50.0%,0.0%
21087236,Atlanta,2022-05-29 18:24:00,Detailed description of the incident #21087236,Gas Related,F93,30331,AFRD Station 9,Atlanta,30331,0.055759012,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,480,240,0,300,29,5,2022,18:24:00,200.0%,0.0%
22006381,Atlanta,2022-07-30 03:30:00,Detailed description of the incident #22006381,Fire Related,F35,30324,AFRD Station 29,Atlanta,30324,0.891905346,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),360,60,240,0,300,30,7,2022,03:30:00,25.0%,0.0%
21002049,Atlanta,2021-11-15 21:34:00,Detailed description of the incident #21002049,Fire Related,F3A,30310,AFRD Station 7,Atlanta,30310,0.436666015,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),240,0,240,120,300,15,11,2021,21:34:00,0.0%,40.0%
