Country,Incident #,Incident City,Incident Date,Incident Description,Incident Type,Incident Type Code,Incident ZipCode,State,Station,Station City,Station ZipCode,Distance,Incident Position,Station Position,Time to Arrival (s),Time to Dispatch (s),Time to Dispatch Target (s),Time to En Route (s),Time to En Route Target (s)
United States,21059921,Atlanta,2/20/2022 9:02:00 PM,Detailed description of the incident #21059921,fire alarm (assembly),F3A,30309,GA,AFRD Station 15,Atlanta,30309,0.222643319,Point,Point,180,120,240,0,300
United States,21063613,Atlanta,3/7/2022 1:39:00 AM,Detailed description of the incident #21063613,fire (garbage/trash/dumpster),F33G,30310,GA,AFRD Station 7,Atlanta,30310,0.245465934,Point,Point,300,180,240,60,300
United States,21067598,Atlanta,3/22/2022 7:10:00 PM,Detailed description of the incident #21067598,fire alarm (assembly),F3A,30305,GA,AFRD Station 21,Atlanta,30305,0.599903205,Point,Point,420,180,240,60,300
United States,21087950,Atlanta,6/2/2022 6:36:00 AM,Detailed description of the incident #21087950,odor of gas/smoke or unknown,F93,30331,GA,AFRD Station 31,Atlanta,30331,2.081256047,Point,Point,420,180,240,60,300
United States,21089737,Atlanta,6/10/2022 12:01:00 PM,Detailed description of the incident #21089737,fire alarm (assembly),F3A,30363,GA,AFRD Station 11,Atlanta,30363,1.179277303,Point,Point,420,120,240,60,300
United States,22000514,Atlanta,7/3/2022 4:13:00 PM,Detailed description of the incident #22000514,fire alarm (assembly),F3A,30310,GA,AFRD Station 17,Atlanta,30310,1.219355471,Point,Point,360,60,240,60,300
United States,22005085,Atlanta,7/23/2022 9:03:00 AM,Detailed description of the incident #22005085,fire alarm (assembly),F3A,30309,GA,AFRD Station 15,Atlanta,30309,0.817958610,Point,Point,780,60,240,60,300
United States,21043465,Atlanta,12/26/2021 4:48:00 PM,Detailed description of the incident #21043465,fire alarm (assembly),F3A,30309,GA,AFRD Station 15,Atlanta,30309,0.583581777,Point,Point,300,60,240,120,300
United States,21048546,Atlanta,1/13/2022 8:32:00 PM,Detailed description of the incident #21048546,fire alarm (assembly),F3A,30316,GA,AFRD Station 13,Atlanta,30316,0.879111808,Point,Point,300,120,240,60,300
United States,21056206,Atlanta,2/8/2022 4:55:00 PM,Detailed description of the incident #21056206,fire alarm (assembly),F3A,30327,GA,AFRD Station 27,Atlanta,30327,0.966338500,Point,Point,300,60,240,120,300
United States,21066463,Atlanta,3/18/2022 10:48:00 AM,Detailed description of the incident #21066463,fire alarm (assembly),F3A,30331,GA,AFRD Station 31,Atlanta,30331,0.653912645,Point,Point,240,0,240,60,300
United States,21078926,Atlanta,5/11/2022 4:18:00 PM,Detailed description of the incident #21078926,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.838817500,Point,Point,480,60,240,0,300
United States,21088344,Atlanta,6/4/2022 12:36:00 AM,Detailed description of the incident #21088344,fire (dwelling) (city only),F33D,30311,GA,AFRD Station 5,Atlanta,30311,0.368236308,Point,Point,120,60,240,120,300
United States,21092523,Atlanta,6/22/2022 7:46:00 PM,Detailed description of the incident #21092523,fire alarm (assembly),F3A,30305,GA,AFRD Station 21,Atlanta,30305,0.506418298,Point,Point,360,120,240,0,300
United States,21093974,Atlanta,6/29/2022 3:34:00 AM,Detailed description of the incident #21093974,fire (dwelling) (city only),F33D,30311,GA,AFRD Station 25,Atlanta,30311,1.085790959,Point,Point,180,420,240,60,300
United States,21006581,Atlanta,12/3/2021 2:13:00 PM,Detailed description of the incident #21006581,fire alarm (assembly),F3A,30305,GA,AFRD Station 21,Atlanta,30305,2.519999504,Point,Point,360,60,240,60,300
United States,21009153,Atlanta,12/12/2021 11:34:00 AM,Detailed description of the incident #21009153,grass/brush fire/outside burning,F35,30312,GA,AFRD Station 4,Atlanta,30312,0.626970357,Point,Point,240,60,240,60,300
United States,21047895,Atlanta,1/11/2022 1:50:00 PM,Detailed description of the incident #21047895,fire alarm (assembly),F3A,30310,GA,AFRD Station 7,Atlanta,30310,1.050099494,Point,Point,240,180,240,0,300
United States,21065630,Atlanta,3/15/2022 9:25:00 AM,Detailed description of the incident #21065630,auto accident involving fire vehicle,F41F,30310,GA,AFRD Station 17,Atlanta,30310,0.017918870,Point,Point,2580,180,240,0,300
United States,21076951,Atlanta,5/1/2022 10:12:00 PM,Detailed description of the incident #21076951,fire alarm (assembly),F3A,30313,GA,AFRD Station 1,Atlanta,30313,1.831279548,Point,Point,300,0,240,60,300
United States,21077290,Atlanta,5/3/2022 12:03:00 PM,Detailed description of the incident #21077290,fire alarm (assembly),F3A,30310,GA,AFRD Station 20,Atlanta,30310,0.449377604,Point,Point,240,60,240,60,300
United States,21091609,Atlanta,6/18/2022 6:10:00 PM,Detailed description of the incident #21091609,auto accident involving fire vehicle,F41F,30313,GA,AFRD Station 1,Atlanta,30313,2.960678521,Point,Point,1560,300,240,0,300
United States,21092579,Atlanta,6/23/2022 12:50:00 AM,Detailed description of the incident #21092579,fire alarm (assembly),F3A,30324,GA,AFRD Station 29,Atlanta,30324,0.555715689,Point,Point,540,60,240,120,300
United States,22003036,Atlanta,7/13/2022 9:03:00 PM,Detailed description of the incident #22003036,fire alarm (assembly),F3A,30363,GA,AFRD Station 11,Atlanta,30363,1.292490753,Point,Point,240,60,240,60,300
United States,21042214,Atlanta,12/22/2021 1:23:00 AM,Detailed description of the incident #21042214,vehicle fire,F34,30331,GA,AFRD Station 9,Atlanta,30331,0.095660869,Point,Point,120,60,240,60,300
United States,21045025,Atlanta,1/1/2022 3:48:00 PM,Detailed description of the incident #21045025,fire alarm (assembly),F3A,30318,GA,AFRD Station 8,Atlanta,30318,0.957961496,Point,Point,420,60,240,0,300
United States,21051961,Atlanta,1/25/2022 1:05:00 AM,Detailed description of the incident #21051961,fire alarm (assembly),F3A,30318,GA,AFRD Station 28,Atlanta,30318,0.921359111,Point,Point,480,60,240,60,300
United States,21060629,Atlanta,2/23/2022 2:17:00 PM,Detailed description of the incident #21060629,fire alarm (assembly),F3A,30312,GA,AFRD Station 10,Atlanta,30312,0.839646578,Point,Point,300,0,240,60,300
United States,21066999,Atlanta,3/20/2022 2:11:00 PM,Detailed description of the incident #21066999,fire alarm (assembly),F3A,30331,GA,AFRD Station 9,Atlanta,30331,0.931932689,Point,Point,360,0,240,60,300
United States,21075632,Atlanta,4/26/2022 7:27:00 AM,Detailed description of the incident #21075632,fire alarm (assembly),F3A,30318,GA,AFRD Station 28,Atlanta,30318,0.583245384,Point,Point,600,120,240,0,300
United States,21079462,Atlanta,5/14/2022 2:34:00 AM,Detailed description of the incident #21079462,odor of gas/smoke or unknown,F93,30312,GA,AFRD Station 10,Atlanta,30312,0.531257442,Point,Point,360,120,240,120,300
United States,21087607,Atlanta,5/31/2022 3:40:00 PM,Detailed description of the incident #21087607,fire (dwelling) (city only),F33D,30315,GA,AFRD Station 30,Atlanta,30315,0.585636261,Point,Point,120,60,240,0,300
United States,21089904,Atlanta,6/11/2022 6:43:00 AM,Detailed description of the incident #21089904,fire alarm (assembly),F3A,30309,GA,AFRD Station 15,Atlanta,30309,0.899861148,Point,Point,420,60,240,0,300
United States,22001350,Atlanta,7/6/2022 3:08:00 PM,Detailed description of the incident #22001350,fire alarm (assembly),F3A,30314,GA,AFRD Station 16,Atlanta,30314,0.807981553,Point,Point,240,120,240,60,300
United States,22003737,Atlanta,7/16/2022 5:08:00 PM,Detailed description of the incident #22003737,grass/brush fire/outside burning,F35,30327,GA,AFRD Station 26,Atlanta,30327,1.373376219,Point,Point,420,120,240,60,300
United States,21043375,Atlanta,12/26/2021 6:04:00 AM,Detailed description of the incident #21043375,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.838817500,Point,Point,240,120,240,60,300
United States,21045438,Atlanta,1/2/2022 9:03:00 PM,Detailed description of the incident #21045438,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,1.208133449,Point,Point,360,60,240,60,300
United States,21065328,Atlanta,3/14/2022 7:29:00 AM,Detailed description of the incident #21065328,odor of gas/smoke or unknown,F93,30324,GA,AFRD Station 29,Atlanta,30324,1.259374620,Point,Point,480,120,240,120,300
United States,21070285,Atlanta,4/3/2022 10:14:00 AM,Detailed description of the incident #21070285,fire alarm (assembly),F3A,30309,GA,AFRD Station 15,Atlanta,30309,0.899861148,Point,Point,240,60,240,60,300
United States,21071664,Atlanta,4/8/2022 9:04:00 PM,Detailed description of the incident #21071664,fire alarm (assembly),F3A,30309,GA,AFRD Station 15,Atlanta,30309,0.213486938,Point,Point,600,120,240,0,300
United States,21087236,Atlanta,5/29/2022 6:24:00 PM,Detailed description of the incident #21087236,odor of gas/smoke or unknown,F93,30331,GA,AFRD Station 9,Atlanta,30331,0.055759012,Point,Point,360,480,240,0,300
United States,22006381,Atlanta,7/30/2022 3:30:00 AM,Detailed description of the incident #22006381,grass/brush fire/outside burning,F35,30324,GA,AFRD Station 29,Atlanta,30324,0.891905346,Point,Point,360,60,240,0,300
United States,21002049,Atlanta,11/15/2021 9:34:00 PM,Detailed description of the incident #21002049,fire alarm (assembly),F3A,30310,GA,AFRD Station 7,Atlanta,30310,0.436666015,Point,Point,240,0,240,120,300
United States,21047981,Atlanta,1/11/2022 8:25:00 PM,Detailed description of the incident #21047981,fire alarm (assembly),F3A,30324,GA,AFRD Station 29,Atlanta,30324,1.236949279,Point,Point,180,60,240,0,300
United States,21059445,Atlanta,2/19/2022 9:17:00 AM,Detailed description of the incident #21059445,fire (dwelling) (city only),F33D,30314,GA,AFRD Station 16,Atlanta,30314,0.652691262,Point,Point,180,180,240,60,300
United States,21076781,Atlanta,5/1/2022 4:05:00 AM,Detailed description of the incident #21076781,odor of gas/smoke or unknown,F93,30331,GA,AFRD Station 9,Atlanta,30331,1.462771148,Point,Point,600,60,240,60,300
United States,21078844,Atlanta,5/11/2022 9:37:00 AM,Detailed description of the incident #21078844,fire alarm (assembly),F3A,30312,GA,AFRD Station 10,Atlanta,30312,0.301747431,Point,Point,180,60,240,60,300
United States,21091102,Atlanta,6/16/2022 5:06:00 PM,Detailed description of the incident #21091102,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.838817500,Point,Point,60,60,240,60,300
United States,22003110,Atlanta,7/14/2022 8:53:00 AM,Detailed description of the incident #22003110,grass/brush fire/outside burning,F35,30312,GA,AFRD Station 4,Atlanta,30312,0.636061063,Point,Point,300,180,240,120,300
United States,21000525,Atlanta,11/9/2021 1:38:00 PM,Detailed description of the incident #21000525,grass/brush fire/outside burning,F35,30312,GA,AFRD Station 4,Atlanta,30312,0.862699803,Point,Point,300,60,240,60,300
United States,21005305,Atlanta,11/28/2021 11:41:00 AM,Detailed description of the incident #21005305,grass/brush fire/outside burning,F35,30311,GA,AFRD Station 25,Atlanta,30311,0.898319149,Point,Point,600,120,240,0,300
United States,21007875,Atlanta,12/8/2021 1:33:00 AM,Detailed description of the incident #21007875,fire alarm (assembly),F3A,30312,GA,AFRD Station 10,Atlanta,30312,0.555623005,Point,Point,240,60,240,60,300
United States,21010445,Atlanta,12/17/2021 1:40:00 AM,Detailed description of the incident #21010445,fire alarm (assembly),F3A,30324,GA,AFRD Station 29,Atlanta,30324,0.219682662,Point,Point,540,60,240,60,300
United States,21056141,Atlanta,2/8/2022 1:00:00 PM,Detailed description of the incident #21056141,fire alarm (assembly),F3A,30324,GA,AFRD Station 29,Atlanta,30324,0.574686108,Point,Point,420,120,240,0,300
United States,21056624,Atlanta,2/10/2022 8:03:00 AM,Detailed description of the incident #21056624,fire alarm (assembly),F3A,30318,GA,AFRD Station 8,Atlanta,30318,1.032885328,Point,Point,180,180,240,120,300
United States,21059460,Atlanta,2/19/2022 10:23:00 AM,Detailed description of the incident #21059460,fire alarm (assembly),F3A,30315,GA,AFRD Station 30,Atlanta,30315,1.515769702,Point,Point,120,120,240,60,300
United States,21074139,Atlanta,4/19/2022 11:57:00 AM,Detailed description of the incident #21074139,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.281196095,Point,Point,240,120,240,60,300
United States,21077281,Atlanta,5/3/2022 11:09:00 AM,Detailed description of the incident #21077281,fire alarm (assembly),F3A,30305,GA,AFRD Station 21,Atlanta,30305,0.577503149,Point,Point,300,60,240,60,300
United States,21042047,Atlanta,12/21/2021 1:16:00 PM,Detailed description of the incident #21042047,fire alarm (assembly),F3A,30327,GA,AFRD Station 26,Atlanta,30327,1.071219397,Point,Point,480,60,240,0,300
United States,21052768,Atlanta,1/27/2022 6:49:00 PM,Detailed description of the incident #21052768,fire alarm (assembly),F3A,30314,GA,AFRD Station 16,Atlanta,30314,0.507289110,Point,Point,120,60,240,60,300
United States,21061041,Atlanta,2/24/2022 10:23:00 PM,Detailed description of the incident #21061041,fire alarm (assembly),F3A,30363,GA,AFRD Station 11,Atlanta,30363,0.992905529,Point,Point,300,120,240,0,300
United States,21077011,Atlanta,5/2/2022 6:23:00 AM,Detailed description of the incident #21077011,fire alarm (assembly),F3A,30309,GA,AFRD Station 15,Atlanta,30309,0.805384911,Point,Point,360,120,240,60,300
United States,21087443,Atlanta,5/30/2022 8:49:00 PM,Detailed description of the incident #21087443,fire alarm (assembly),F3A,30306,GA,AFRD Station 19,Atlanta,30306,0.686294246,Point,Point,480,0,240,120,300
United States,21803282,Atlanta,12/28/2021 5:47:00 AM,Detailed description of the incident #21803282,odor of gas/smoke or unknown,F93,30337,GA,AFRD Station 32 (new),Atlanta,30337,0.615459087,Point,Point,780,180,240,60,300
United States,22004157,Atlanta,7/18/2022 3:01:00 PM,Detailed description of the incident #22004157,odor of gas/smoke or unknown,F93,30316,GA,AFRD Station 13,Atlanta,30316,0.856579455,Point,Point,240,60,240,60,300
United States,21003921,Atlanta,11/23/2021 4:16:00 AM,Detailed description of the incident #21003921,fire alarm (assembly),F3A,30324,GA,AFRD Station 29,Atlanta,30324,0.896501702,Point,Point,420,60,240,120,300
United States,21058399,Atlanta,2/15/2022 10:32:00 PM,Detailed description of the incident #21058399,fire (assembly),F33A,30305,GA,AFRD Station 21,Atlanta,30305,0.713134383,Point,Point,180,120,240,60,300
United States,21061705,Atlanta,2/27/2022 3:15:00 PM,Detailed description of the incident #21061705,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.833777668,Point,Point,300,180,240,0,300
United States,21063348,Atlanta,3/5/2022 11:25:00 PM,Detailed description of the incident #21063348,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.737035029,Point,Point,420,0,240,120,300
United States,21069120,Atlanta,3/29/2022 10:56:00 AM,Detailed description of the incident #21069120,fire alarm (assembly),F3A,30314,GA,AFRD Station 16,Atlanta,30314,1.355540182,Point,Point,360,180,240,0,300
United States,21071091,Atlanta,4/6/2022 12:46:00 PM,Detailed description of the incident #21071091,fire alarm (assembly),F3A,30327,GA,AFRD Station 26,Atlanta,30327,1.042182414,Point,Point,240,120,240,60,300
United States,21077767,Atlanta,5/5/2022 8:33:00 PM,Detailed description of the incident #21077767,fire alarm (assembly),F3A,30318,GA,AFRD Station 38,Atlanta,30318,1.103179395,Point,Point,420,120,240,60,300
United States,21080812,Atlanta,5/20/2022 9:53:00 AM,Detailed description of the incident #21080812,fire alarm (assembly),F3A,30363,GA,AFRD Station 11,Atlanta,30363,1.127078194,Point,Point,360,60,240,0,300
United States,21081105,Atlanta,5/21/2022 4:06:00 PM,Detailed description of the incident #21081105,fire alarm (assembly),F3A,30318,GA,AFRD Station 28,Atlanta,30318,0.630166966,Point,Point,240,0,240,60,300
United States,21089472,Atlanta,6/9/2022 9:02:00 AM,Detailed description of the incident #21089472,vehicle fire,F34,30313,GA,AFRD Station 1,Atlanta,30313,2.473611052,Point,Point,120,420,240,0,300
United States,21092148,Atlanta,6/21/2022 12:03:00 AM,Detailed description of the incident #21092148,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.735798591,Point,Point,300,120,240,120,300
United States,21093427,Atlanta,6/27/2022 1:57:00 AM,Detailed description of the incident #21093427,fire alarm (assembly),F3A,30306,GA,AFRD Station 19,Atlanta,30306,0.712514660,Point,Point,540,60,240,120,300
United States,22004820,Atlanta,7/21/2022 11:55:00 PM,Detailed description of the incident #22004820,odor of gas/smoke or unknown,F93,30324,GA,AFRD Station 29,Atlanta,30324,1.053246383,Point,Point,240,120,240,60,300
United States,21042026,Atlanta,12/21/2021 11:35:00 AM,Detailed description of the incident #21042026,fire alarm (assembly),F3A,30305,GA,AFRD Station 21,Atlanta,30305,0.671179774,Point,Point,420,60,240,60,300
United States,21042583,Atlanta,12/23/2021 9:55:00 AM,Detailed description of the incident #21042583,fire alarm (assembly),F3A,30316,GA,AFRD Station 13,Atlanta,30316,0.100765638,Point,Point,360,120,240,60,300
United States,21048187,Atlanta,1/12/2022 4:37:00 PM,Detailed description of the incident #21048187,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.737035029,Point,Point,180,120,240,0,300
United States,21056855,Atlanta,2/10/2022 11:05:00 PM,Detailed description of the incident #21056855,fire alarm (assembly),F3A,30310,GA,AFRD Station 7,Atlanta,30310,0.472817677,Point,Point,420,60,240,60,300
United States,21059235,Atlanta,2/18/2022 4:26:00 PM,Detailed description of the incident #21059235,fire alarm (assembly),F3A,30324,GA,AFRD Station 29,Atlanta,30324,1.152206844,Point,Point,300,0,240,60,300
